,title,price,rating,reviews,brand,model,storage_gb,has_5g,has_lte,year,is_unlocked,dual_sim,ram_gb,is_premium,us_version
93,"FOSSIBOT F114 Rugged Smartphone Unlocked, 16GB+128GB/2TB Android 15 Rugged Phone, 5000mAh Battery Cellphone,50MP+2MP+8MP Camera,Dual SIM 4G Phone,IP68 / IP69K, NFC","39,214..70",4.4 out of 5 stars,Save 5%,FOSSIBOT,,16.0,0,0,,1,1,,0,0
94,"Bigme HiBreakS Color Epaper Smart Phone,3300mAh Battery, 8-Core Processor, 6GB+128GB, 5.84 Inch Mobile Phone, Dual Camera, White","85,970..36",3.2 out of 5 stars,New on Amazon in past month,Bigme,,6.0,0,0,,0,0,,1,0
95,"TCL 50 XE 5G T614SP Smartphone 128GB Storage 4GB RAM 6.52"" HD+ Display Verizon Prepaid & Postpaid Locked Blue","22,129..88",5.0 out of 5 stars,Only 6 left in stock - order soon.,TCL,,128.0,1,0,,0,0,,0,0
96,"UMIDIGI Note 100 5G Unlocked Cell Phone, 5G Dual SIM Android 14 Phone, 50MP Camera,16(8+8) GB+256GB/TF 1TB Expend Smart Phone, 6.8"" HD+120Hz Display, Fingerprint+AI Face Unlock, Dual Mic(Blue)","43,416..57",3.6 out of 5 stars,,UMIDIGI,,256.0,1,0,,1,1,,0,0
97,"Ulefone Unlocked Smartphone, Note 14 Cell Phone Unlocked, Android 12, 6.52"" IPS Full-Screen, 4500mAh, 7GB + 16GB, 3-Card Slots, 8MP Camera, Dual SIM, Face Recognition, 4G Cheap Phones - Green","16,804..70",3.7 out of 5 stars,,Ulefone,,7.0,0,0,,1,1,,0,0
98,"I25 Ultra 5G Unlocked Smartphone,12GB+512GB Fully Cell Phone for Android 14, 6.99"" Unlocked Cell Phone, 7000mAh, 68MP+108MP Dual Camera/Dual SIM (Titanium Orange)","55,711..26",3.7 out of 5 stars,,I25,,12.0,1,0,,1,1,,1,0
99,Bolt 20 | Dual SIM | Unlocked Smartphone | Android 14 | 2 Day Battery | NFC | 6.75” HD+ Display | 6GB+8GB VRAM | 256GB Storage | 50MP Triple Camera | Fingerprint | Black,"36,413..45",3.8 out of 5 stars,,Bolt,,6.0,0,0,,1,1,,0,0
100,"Nokia G400 5G | Verizon, AT&T, T-Mobile | Android 12 | Unlocked Smartphone | 3-Day Battery | US Version | 4/64GB | 6.58-Inch Screen | 48MP Triple Camera | Meteor Grey",,3.5 out of 5 stars,,NOKIA,,64.0,1,0,,1,0,,0,1
101,"17PROMA X 16GB+512GB 6.99"" HD Screen Smartphone Unlocked Cell Phone,Android 15,Battery 7000mAh Unlocked The Phone,Fingerprint Button Unlock/GPS/Face ID/Dual SIM/5G(Blue)","55,711..26",5.0 out of 5 stars,,17PROMA,,16.0,1,0,,1,1,,0,0
102,Easy to Use Mobile Phones,0..00,3.0 out of 5 stars,by,Easy,,,0,0,,0,0,,0,0
103,ASURION 2 Year Mobile Phone Accident Protection Plan ($1000 - $1249.99),,3.3 out of 5 stars,No featured offers available,ASURION,,,0,0,,0,0,,1,0
104,ASURION 2 Year Mobile Phone Accident Protection Plan ($300 - $349.99),,3.6 out of 5 stars,No featured offers available,ASURION,,,0,0,,0,0,,1,0
105,ASURION 2 Year Mobile Phone Accident Protection Plan ($800 - $899.99),,3.4 out of 5 stars,No featured offers available,ASURION,,,0,0,,0,0,,1,0
